编号,日期,账户,推广计划,消耗,点击数,展示数,点击率,点击均价,有消耗词量
16,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,RL18，【人流】人流偏词//,87.9,2,3,66.67%,43.95,1
17,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,RL09，人流费用?rlfy,15.56,1,1,100.00%,15.56,1
18,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,YZ07，【炎症】阴道出血,205.42,44,513,8.58%,4.67,30
19,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,RL17，【人流】意外怀孕,9.78,1,5,20.00%,9.78,1
20,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,ZY07，测孕-流量,35.47,12,76,15.79%,2.96,12
21,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,RL23，【人流】人流长尾,6.05,1,1,100.00%,6.05,1
22,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,SMZX01，【整形】处修费用,3.52,1,4,25.00%,3.52,1
23,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,GWY02，西安宫外孕费用,8.48,1,1,100.00%,8.48,1
24,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,YL01，【药流】药流//,19.17,1,4,25.00%,19.17,1
25,2019-07-19至2019-07-19,cm_nkywyy@sohu.com,GJ01，西安宫颈糜烂,5.86,2,48,4.17%,2.93,1
编号,日期,账户,推广计划,消耗,点击数,展示数,点击率,点击均价,有消耗词量
总计,--,--,--,2872.18,300,1578,19.01%,9.57,261
1,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLSH-[人流],13.35,1,1,100.00%,13.35,1
2,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RL5-[人流]-重点,32,1,9,11.11%,32,1
3,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLYWHY-[人流],71.61,3,68,4.41%,23.87,3
4,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-外阴疼痛,16.23,4,12,33.33%,4.06,4
5,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,D-YZ-18-[尿血症状],1.56,1,1,100.00%,1.56,1
6,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-外阴溃烂,23.16,3,3,100.00%,7.72,1
7,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,DYRL1-[西安人流]-重点,228.69,4,36,11.11%,57.17,4
8,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-阴道异味,13.5,1,5,20.00%,13.5,1
9,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLDT-[人流打胎]-重点,77.14,3,5,60.00%,25.71,3
10,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,月经疼痛,0.45,1,1,100.00%,0.45,1
11,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,DYRL-[西安人流]-重点,210,4,11,36.36%,52.5,4
12,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-外阴红肿,16.61,1,1,100.00%,16.61,1
13,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLLC-[人流流产],29.98,1,1,100.00%,29.98,1
14,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLDHZ-[人流],120.51,4,7,57.14%,30.13,2
15,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLRGLC-[人流],61.65,1,9,11.11%,61.65,1
16,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLYL-[人流药流]-重点,30.4,1,2,50.00%,30.4,1
17,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLFF-[人流],47.62,1,1,100.00%,47.62,1
18,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,SQH01，环/取环,8.17,2,5,40.00%,4.09,2
19,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,月经推迟-[早孕],541.57,90,551,16.33%,6.02,70
20,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-阴道干涩,4.42,1,56,1.79%,4.42,1
21,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLYHY-[人流],13.28,1,1,100.00%,13.28,1
22,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-外阴瘙痒,122.66,12,37,32.43%,10.22,11
23,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-阴道炎,97.83,8,53,15.09%,12.23,7
24,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,白带流量,15.76,4,25,16.00%,3.94,4
25,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,GWY-[人流]-宫外孕,19.02,2,3,66.67%,9.51,2
26,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-外阴长包,6.9,1,2,50.00%,6.9,1
27,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,测怀孕-[早孕],83.29,17,65,26.15%,4.9,17
28,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,DYRL2-[西安人流]-重点,48.09,1,1,100.00%,48.09,1
29,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RL-[人流]-重点,302.09,8,9,88.89%,37.76,8
30,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,月经不调,32.79,21,50,42.00%,1.56,19
31,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,怀孕症状-[早孕],179.97,52,353,14.73%,3.46,44
32,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,血检-[早孕],26.94,4,12,33.33%,6.74,4
33,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-阴道出血,35.68,5,29,17.24%,7.14,5
34,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,D-SQH-1上取环,4.99,1,4,25.00%,4.99,1
35,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RL1-[人流]-重点,72.67,4,26,15.38%,18.17,3
36,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,白带重点,50.19,12,45,26.67%,4.18,12
37,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-外阴白点,31.66,2,2,100.00%,15.83,1
38,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,试纸-[早孕],122.74,10,26,38.46%,12.27,9
39,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,RLRLH-[人流],3.42,2,30,6.67%,1.71,2
40,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,炎症-外阴疙瘩,34.11,3,17,17.65%,11.37,3
41,2019-07-19至2019-07-19,cm_120sxnk@sohu.com,查怀孕-[早孕],19.48,2,3,66.67%,9.74,2
