数据生成时间：2019-07-20 14:08
数据生成条件：
1. 时间范围：20190719
2. 时间单位：合计
3. 推广设备：移动设备，计算机
4. 投放网络：全部

账户,日期,推广计划,展现,点击,消费,平均点击价格,点击率,网页转化,电话转化,商桥转化,推广计划ID
"xa-lhqg","2019-07-19","ZY03-[早孕]早孕流量",57,0,0.00,0.00,0.00%,0,0,0,108474084
"xa-lhqg","2019-07-19","ZY02-[早孕]早孕检查",45,0,0.00,0.00,0.00%,0,0,0,108474085
"xa-lhqg","2019-07-19","YZ15-[妇科炎症]阴道出血",16,0,0.00,0.00,0.00%,0,0,0,108474088
"xa-lhqg","2019-07-19","YZ18-[妇科炎症]阴道其他疾病",27,0,0.00,0.00,0.00%,0,0,0,108474090
"xa-lhqg","2019-07-19","YZ16-[妇科炎症]阴道红肿疼痛",2,0,0.00,0.00,0.00%,0,0,0,108474092
"xa-lhqg","2019-07-19","YZ19-[妇科炎症]阴道瘙痒",3,0,0.00,0.00,0.00%,0,0,0,108474093
"xa-lhqg","2019-07-19","YZ17-[妇科炎症]阴道疱疹疙瘩",7,0,0.00,0.00,0.00%,0,0,0,108474094
"xa-lhqg","2019-07-19","C-RL-B2意外怀孕",1,0,0.00,0.00,0.00%,0,0,0,108640295
"xa-lhqg","2019-07-19","C-RL-A9非-无痛人流",1,0,0.00,0.00,0.00%,0,0,0,108640296
"xa-lhqg","2019-07-19","C-RL-A3非-人流时间",1,0,0.00,0.00,0.00%,0,0,0,108640302
"xa-lhqg","2019-07-19","C-RL-A4人流 MO 时间",1,0,0.00,0.00,0.00%,0,0,0,108640304
"xa-lhqg","2019-07-19","C-RL-98打胎时间",1,0,0.00,0.00,0.00%,0,0,0,108640309
"xa-lhqg","2019-07-19","C-RL-95非地域",5,0,0.00,0.00,0.00%,0,0,0,108640312
"xa-lhqg","2019-07-19","C-RL-93人流 MO（低价）",12,0,0.00,0.00,0.00%,0,0,0,108640315
"xa-lhqg","2019-07-19","C-RL-D8流产流量",5,0,0.00,0.00,0.00%,0,0,0,108640322
"xa-lhqg","2019-07-19","C-RL-D6打胎,流产",8,0,0.00,0.00,0.00%,0,0,0,108640324
"xa-lhqg","2019-07-19","C-RL-D9人流时间(综合)",4,0,0.00,0.00,0.00%,0,0,0,108640327
"xa-lhqg","2019-07-19","C-RL-C8无痛人流-西安",1,0,0.00,0.00,0.00%,0,0,0,108640329
"xa-lhqg","2019-07-19","C-RL-D3人流",1,0,0.00,0.00,0.00%,0,0,0,108640333
"xa-lhqg","2019-07-19","C-RL-D1人流(DJ)",15,0,0.00,0.00,0.00%,0,0,0,108640335
"xa-lhqg","2019-07-19","C-RL-B9人流时间",3,0,0.00,0.00,0.00%,0,0,0,108640341
"xa-lhqg","2019-07-19","C-RL-84(人流时间)",1,0,0.00,0.00,0.00%,0,0,0,108640349
"xa-lhqg","2019-07-19","C-RL-87人流类-时间",11,0,0.00,0.00,0.00%,0,0,0,108640350
"xa-lhqg","2019-07-19","C-RL-79人流时间",2,0,0.00,0.00,0.00%,0,0,0,108640354
"xa-lhqg","2019-07-19","C-RL-81打胎堕胎sj",2,0,0.00,0.00,0.00%,0,0,0,108640357
"xa-lhqg","2019-07-19","C-RL-54人流-时间",3,0,0.00,0.00,0.00%,0,0,0,108640381
"xa-lhqg","2019-07-19","C-RL-39意外怀孕",13,0,0.00,0.00,0.00%,0,0,0,108640387
"xa-lhqg","2019-07-19","C-RL-34流产时间",3,0,0.00,0.00,0.00%,0,0,0,108640388
"xa-lhqg","2019-07-19","C-RL-33西安",5,0,0.00,0.00,0.00%,0,0,0,108640389
"xa-lhqg","2019-07-19","C-RL-36无痛人流",2,0,0.00,0.00,0.00%,0,0,0,108640390
"xa-lhqg","2019-07-19","C-YC-10引产",1,0,0.00,0.00,0.00%,0,0,0,108640417
"xa-lhqg","2019-07-19","C-RL-E8（非地域）流产",3,0,0.00,0.00,0.00%,0,0,0,108640435
"xa-lhqg","2019-07-19","C-RL-E5（非地域）人流",5,0,0.00,0.00,0.00%,0,0,0,108640436
"xa-lhqg","2019-07-19","C-RL-E3宫外孕",5,0,0.00,0.00,0.00%,0,0,0,108640438
"xa-lhqg","2019-07-19","C-RL-F5治疗",2,0,0.00,0.00,0.00%,0,0,0,108640440
"xa-lhqg","2019-07-19","C-RL-F6堕胎流量",1,0,0.00,0.00,0.00%,0,0,0,108640441
"xa-lhqg","2019-07-19","C-YZ-YZ01-阴道炎",6,0,0.00,0.00,0.00%,0,0,0,108640453
"xa-lhqg","2019-07-19","C-ZX-5处女膜修复JJ",5,0,0.00,0.00,0.00%,0,0,0,108640463
"xa-lhqg","2019-07-19","C-YZ-13妇科类-炎症",7,0,0.00,0.00,0.00%,0,0,0,108640474
"xa-lhqg","2019-07-19","C-YZ-6症状综合",35,0,0.00,0.00,0.00%,0,0,0,108640479
"xa-lhqg","2019-07-19","C-RL-30胎停育",48,1,1.57,1.57,2.08%,0,0,0,108640495
"xa-lhqg","2019-07-19","C-RL-21打孩子",11,0,0.00,0.00,0.00%,0,0,0,108640496
"xa-lhqg","2019-07-19","C-RL-22打胎流量-西安",43,0,0.00,0.00,0.00%,0,0,0,108640497
"xa-lhqg","2019-07-19","C-RL-17流产-2时间-xj",7,0,0.00,0.00,0.00%,0,0,0,108640499
"xa-lhqg","2019-07-19","C-RL-26计生怀孕",17,0,0.00,0.00,0.00%,0,0,0,108640501
"xa-lhqg","2019-07-19","C-RL-1药流流量-xj",25,0,0.00,0.00,0.00%,0,0,0,108640502
"xa-lhqg","2019-07-19","C-RL-24人流",15,0,0.00,0.00,0.00%,0,0,0,108640507
"xa-lhqg","2019-07-19","C-RL-27人流-重点",8,0,0.00,0.00,0.00%,0,0,0,108640510
"xa-lhqg","2019-07-19","C-HY-8地域-妇科医院",74,0,0.00,0.00,0.00%,0,0,0,108640514
"xa-lhqg","2019-07-19","C-HY-9在线咨询-流量",1,0,0.00,0.00,0.00%,0,0,0,108640515
"xa-lhqg","2019-07-19","C-HY-7妇科医院",34,0,0.00,0.00,0.00%,0,0,0,108640517
"xa-lhqg","2019-07-19","C-HY-2妇科医院",7,2,1.73,0.87,28.57%,0,0,0,108640520
"xa-lhqg","2019-07-19","C-FKJC-1综合",11,0,0.00,0.00,0.00%,0,0,0,108640522
"xa-lhqg","2019-07-19","C-FKJC-2妇科检查",3,0,0.00,0.00,0.00%,0,0,0,108640523
"xa-lhqg","2019-07-19","C-YZ-31阴道出血",13,0,0.00,0.00,0.00%,0,0,0,108640524
"xa-lhqg","2019-07-19","C-YZ-32阴道出血",55,0,0.00,0.00,0.00%,0,0,0,108640525
"xa-lhqg","2019-07-19","C-YZ-23白带",17,0,0.00,0.00,0.00%,0,0,0,108640527
"xa-lhqg","2019-07-19","C-RL-12人流-费用-xj",2,0,0.00,0.00,0.00%,0,0,0,108640532
"xa-lhqg","2019-07-19","C-RL-10人流流量-xj",4,0,0.00,0.00,0.00%,0,0,0,108640534
"xa-lhqg","2019-07-19","C-YZ-21白带",5,0,0.00,0.00,0.00%,0,0,0,108640544
"xa-lhqg","2019-07-19","C-ZZY-6早孕测试(推迟)",43,0,0.00,0.00,0.00%,0,0,0,108640547
"xa-lhqg","2019-07-19","C-ZZY-2早孕检查",6,0,0.00,0.00,0.00%,0,0,0,108640548
"xa-lhqg","2019-07-19","C-ZZY-4验孕棒试纸",32,0,0.00,0.00,0.00%,0,0,0,108640550
"xa-lhqg","2019-07-19","C-ZZY-12 [怀孕]-早孕",32,0,0.00,0.00,0.00%,0,0,0,108640552
"xa-lhqg","2019-07-19","C-ZZY-13 [早孕]-查早孕",109,2,3.63,1.82,1.83%,0,0,0,108640553
"xa-lhqg","2019-07-19","C-ZZY-14[早孕]-早孕测试",16,0,0.00,0.00,0.00%,0,0,0,108640554
"xa-lhqg","2019-07-19","C-ZZY-ZY12-早孕-试纸",25,1,1.69,1.69,4.00%,0,0,0,108640561
"xa-lhqg","2019-07-19","C-ZZY-ZY13-早孕-推迟",11,0,0.00,0.00,0.00%,0,0,0,108640562
"xa-lhqg","2019-07-19","C-ZZY-ZY10-早孕-其他",8,0,0.00,0.00,0.00%,0,0,0,108640567
"xa-lhqg","2019-07-19","C-ZZY-ZY03-早孕-查早孕类词",5,0,0.00,0.00,0.00%,0,0,0,108640568
"xa-lhqg","2019-07-19","C-ZZY-ZY04-早孕-查早孕时间",4,0,0.00,0.00,0.00%,0,0,0,108640569
"xa-lhqg","2019-07-19","C-ZZY-ZY06-早孕-费用",6,0,0.00,0.00,0.00%,0,0,0,108640571
"xa-lhqg","2019-07-19","C-ZZY-7验孕",7,0,0.00,0.00,0.00%,0,0,0,108640573
"xa-lhqg","2019-07-19","C-ZZY-9早孕",1,0,0.00,0.00,0.00%,0,0,0,108640574
"xa-lhqg","2019-07-19","RL51-人流-打胎",11,0,0.00,0.00,0.00%,0,0,0,108640580
"xa-lhqg","2019-07-19","RL04-人流-流产",51,0,0.00,0.00,0.00%,0,0,0,108640592
"xa-lhqg","2019-07-19","RL05-人流-名词",1,0,0.00,0.00,0.00%,0,0,0,108640593
"xa-lhqg","2019-07-19","FKQT05-[其他]预约挂号词",2,0,0.00,0.00,0.00%,0,0,0,108474012
"xa-lhqg","2019-07-19","RL28-[计生]西安人流费用-c",1,0,0.00,0.00,0.00%,0,0,0,108474016
"xa-lhqg","2019-07-19","C-RL-81打胎时间-西安",2,0,0.00,0.00,0.00%,0,0,0,108640358
"xa-lhqg","2019-07-19","C-RL-62流产时间",3,0,0.00,0.00,0.00%,0,0,0,108640375
"xa-lhqg","2019-07-19","C-RL-46无痛人流流量",1,0,0.00,0.00,0.00%,0,0,0,108640378
"xa-lhqg","2019-07-19","C-RL-打胎-77时间",1,0,0.00,0.00,0.00%,0,0,0,108640418
"xa-lhqg","2019-07-19","C-HY-6西安的医院挂号",1,0,0.00,0.00,0.00%,0,0,0,108640516
"xa-lhqg","2019-07-19","RL02-人流-对话词",1,0,0.00,0.00,0.00%,0,0,0,108640581
"xa-lhqg","2019-07-19","RL03-人流-费用",1,0,0.00,0.00,0.00%,0,0,0,108640596
"xa-lhyy66","2019-07-19","E-RL-8-[打胎]时间-m",106,5,46.14,9.23,4.72%,0,0,0,106064419
"xa-lhyy66","2019-07-19","E-RL-53-人流流量-高价",1212,13,533.19,41.01,1.07%,0,0,0,106064427
"xa-lhyy66","2019-07-19","E-RL-6-[打胎]流量-杂-m",480,16,132.09,8.26,3.33%,0,0,0,106064428
"xa-lhyy66","2019-07-19","E-RL-59-（非地域）打胎-高价",190,0,0.00,0.00,0.00%,0,0,0,106064429
"xa-lhyy66","2019-07-19","E-RL-58-（非地域）流产-高价",104,1,10.68,10.68,0.96%,0,0,0,106064430
"xa-lhyy66","2019-07-19","E-RL-57-（非地域）人流-高",324,5,55.46,11.09,1.54%,0,0,0,106064431
"xa-lhyy66","2019-07-19","E-SMZX-1私密[阴唇整形]",1,0,0.00,0.00,0.00%,0,0,0,106064456
"xa-lhyy66","2019-07-19","E-SMZX-3私密整形[阴道紧缩]",251,5,14.29,2.86,1.99%,0,0,0,106064458
"xa-lhyy66","2019-07-19","E-RL-28-[人流]时间-天-m",94,1,10.30,10.30,1.06%,0,0,0,106064482
"xa-lhyy66","2019-07-19","E-RL-32-[人流]医院-流量-m",118,3,27.59,9.20,2.54%,0,0,0,106064483
"xa-lhyy66","2019-07-19","E-RL-22-[人流]费用1-m",210,10,91.91,9.19,4.76%,0,0,0,106064485
"xa-lhyy66","2019-07-19","E-RL-25-人流搜索词",411,3,40.96,13.65,0.73%,0,0,0,106064486
"xa-lhyy66","2019-07-19","E-RL-20-[打胎]时间-月周天-m",133,6,62.25,10.38,4.51%,0,0,0,106064487
"xa-lhyy66","2019-07-19","E-RL-21-人流 MO（低价）",657,21,205.11,9.77,3.20%,0,0,0,106064488
"xa-lhyy66","2019-07-19","E-RL-11-[人流]时间-X周-m",257,4,40.24,10.06,1.56%,0,0,0,106064491
"xa-lhyy66","2019-07-19","E-RL-13-[人流]技术方法-m",169,1,12.01,12.01,0.59%,0,0,0,106064492
"xa-lhyy66","2019-07-19","E-RL-1-[人流]时间-X天-m",143,3,24.85,8.28,2.10%,0,0,0,106064493
"xa-lhyy66","2019-07-19","E-RL-39-人流时间-7.1调整关注",235,8,50.41,6.30,3.40%,0,0,0,106064496
"xa-lhyy66","2019-07-19","E-RL-50-人流11词-高价",559,7,296.47,42.35,1.25%,0,0,0,106064497
"xa-lhyy66","2019-07-19","E-RL-45-西安人流费用",42,1,14.12,14.12,2.38%,0,0,0,106064498
"xa-lhyy66","2019-07-19","E-RL-52-人流费用-高价",604,6,151.98,25.33,0.99%,0,0,0,106064499
"xa-lhyy66","2019-07-19","E-RL-41-（非地域）人流",68,3,34.31,11.44,4.41%,0,0,0,106064507
"xa-lhyy66","2019-07-19","E-RL-3-[流产]时间-月周天-m",55,1,3.75,3.75,1.82%,0,0,0,106064510
"xa-lhyy66","2019-07-19","E-RL-35-人流 MO 时间",386,21,234.21,11.15,5.44%,0,0,0,106064511
"xa-lhyy66","2019-07-19","E-YZ-51-阴道出血",140,10,22.33,2.23,7.14%,0,0,0,106064512
"xa-lhyy66","2019-07-19","E-YZ-42-阴道出血JQ",252,21,69.58,3.31,8.33%,0,0,0,106064513
"xa-lhyy66","2019-07-19","E-PP-1-品牌词玛丽医院",66,5,90.85,18.17,7.58%,0,0,0,106064531
"xa-lhyy66","2019-07-19","E-YL-4-[药流]医院 新",351,3,40.99,13.66,0.85%,0,0,0,106064535
"xa-lhyy66","2019-07-19","E-YL-8保药流",328,6,88.64,14.77,1.83%,0,0,0,106064539
"xa-lhyy66","2019-07-19","E-YJ-1-月经推迟",67,1,2.25,2.25,1.49%,0,0,0,106064564
"xa-lhyy66","2019-07-19","E-YJ-12-月经推迟JQ",146,13,31.46,2.42,8.90%,0,0,0,106064566
"xa-lhyy66","2019-07-19","E-YJ-7-[月经推迟]",41,3,2.21,0.74,7.32%,0,0,0,106064568
"xa-lhyy66","2019-07-19","E-YJ-4-月经延迟",10,0,0.00,0.00,0.00%,0,0,0,106064569
"xa-lhyy66","2019-07-19","E-YJ-5-月经推迟",12,0,0.00,0.00,0.00%,0,0,0,106064570
"xa-lhyy66","2019-07-19","E-YJ-13-例假推迟早孕JQ",81,6,12.20,2.03,7.41%,0,0,0,106064571
"xa-lhyy66","2019-07-19","E-YL-1-[药流]时间 新",112,3,38.15,12.72,2.68%,0,0,0,106064573
"xa-lhyy66","2019-07-19","E-YJ-6-月经推迟",19,0,0.00,0.00,0.00%,0,0,0,106064575
"xa-lhyy66","2019-07-19","E-RL-47-人流-人流后-低价勿动",444,45,128.68,2.86,10.14%,0,0,0,106892032
"xa-lhyy66","2019-07-19","E-RL-9-（非地域）流产",205,2,21.76,10.88,0.98%,0,0,0,106064418
"xa-lhyy66","2019-07-19","E-RL-19-[流产]流量-m",109,3,25.53,8.51,2.75%,0,0,0,106064490
"xa-lhyy66","2019-07-19","E-PP-3-品牌词",20,3,38.75,12.92,15.00%,0,0,0,106064495
"xa-lhyy66","2019-07-19","E-RL-33-[人流]医院-综合-m",92,3,27.00,9.00,3.26%,0,0,0,106064509
"xa-lhyy66","2019-07-19","E-PP-2-品牌词下拉词",29,6,111.07,18.51,20.69%,0,0,0,106064528
"xa-lhyy66","2019-07-19","E-YL-7-[药流]费用 新",13,0,0.00,0.00,0.00%,0,0,0,106064536
"xa-lhyy66","2019-07-19","E-RL-5-[流产]无痛技术-m",15,0,0.00,0.00,0.00%,0,0,0,106064500
"xa-lhyy66","2019-07-19","E-RL-46-（地域）西安人流医院",17,3,31.47,10.49,17.65%,0,0,0,106064503
"xa-lhyy66","2019-07-19","E-RL-10-[人流]流量-杂-m",20,0,0.00,0.00,0.00%,0,0,0,106064494
"xa-lhyy66","2019-07-19","E-SMZX-2私密整形[处女膜修复]",5,0,0.00,0.00,0.00%,0,0,0,106064459
"xa-lhyy66","2019-07-19","E-RL-43-人流费用",19,0,0.00,0.00,0.00%,0,0,0,106064504
"xa-lhyy66","2019-07-19","E-RL-38-人流下拉",48,1,8.27,8.27,2.08%,0,0,0,106064508
"xa-lhyy66","2019-07-19","E-YC-37-引产",1,0,0.00,0.00,0.00%,0,0,0,106064398
"xa-lhyy66","2019-07-19","E-YC-4-[引产]时间-流量",1,0,0.00,0.00,0.00%,0,0,0,106064399
"xa-lhyy66","2019-07-19","E-YC-53-引产安徽 1",1,0,0.00,0.00,0.00%,0,0,0,106064403
"xa-lhyy66","2019-07-19","E-YC-43-引产时间",31,0,0.00,0.00,0.00%,0,0,0,106064409
"xa-lhyy66","2019-07-19","E-YC-52-引产 MO",49,2,11.12,5.56,4.08%,0,0,0,106064414
"xa-lhyy66","2019-07-19","E-YC-11-[引产]流量",1,0,0.00,0.00,0.00%,0,0,0,106064420
"xa-lhyy66","2019-07-19","E-YC-1-[引产]西安",12,0,0.00,0.00,0.00%,0,0,0,106064421
"xa-lhyy66","2019-07-19","E-YC-12-[引产]无痛技术",2,0,0.00,0.00,0.00%,0,0,0,106064440
"xa-lhyy66","2019-07-19","E-YC-10-[引产]怀孕月份",16,1,2.51,2.51,6.25%,0,0,0,106064442
"xa-lhyy66","2019-07-19","E-YC-13-引产",21,0,0.00,0.00,0.00%,0,0,0,106064443
"xa-lhyy66","2019-07-19","E-ZZY-13-早孕流量",12,1,1.53,1.53,8.33%,0,0,0,106064448
"xa-lhyy66","2019-07-19","E-ZZY-14-早孕-验孕",367,26,104.37,4.01,7.08%,0,0,0,106064449
"xa-lhyy66","2019-07-19","E-ZZY-15-[非地域]早孕-意外怀孕",22,0,0.00,0.00,0.00%,0,0,0,106064450
"xa-lhyy66","2019-07-19","E-ZZY-16-早孕-怀孕检测",259,19,73.38,3.86,7.34%,0,0,0,106064451
"xa-lhyy66","2019-07-19","E-ZZY-10-早孕",27,3,7.73,2.58,11.11%,0,0,0,106064452
"xa-lhyy66","2019-07-19","E-ZZY-1-[非地域]早孕-意外怀孕",150,16,79.16,4.95,10.67%,0,0,0,106064453
"xa-lhyy66","2019-07-19","E-ZZY-12-早孕检查-怀孕",66,0,0.00,0.00,0.00%,0,0,0,106064454
"xa-lhyy66","2019-07-19","E-ZZY-8-[早孕]C-早孕检查",27,1,2.57,2.57,3.70%,0,0,0,106064464
"xa-lhyy66","2019-07-19","E-ZZY-9-流量[早孕/怀孕检查]",8,0,0.00,0.00,0.00%,0,0,0,106064465
"xa-lhyy66","2019-07-19","E-ZZY-7-[早孕]-3G怀孕流量",63,6,24.21,4.04,9.52%,0,0,0,106064467
"xa-lhyy66","2019-07-19","E-ZZY-3-[早孕]-3G怀孕流量",369,19,76.15,4.01,5.15%,0,0,0,106064468
"xa-lhyy66","2019-07-19","E-ZZY-5-[早孕-检查]",87,5,20.22,4.04,5.75%,0,0,0,106064470
"xa-lhyy66","2019-07-19","E-ZZY-4-[早孕]C-早孕检查",26,4,12.68,3.17,15.38%,0,0,0,106064471
"xa-lhyy66","2019-07-19","E-ZZY-21-早孕-验孕",18,0,0.00,0.00,0.00%,0,0,0,106064472
"xa-lhyy66","2019-07-19","E-ZZY-20-早孕检查-怀孕",36,1,2.44,2.44,2.78%,0,0,0,106064473
"xa-lhyy66","2019-07-19","E-ZZY-24-早孕",243,17,56.85,3.34,7.00%,0,0,0,106064474
"xa-lhyy66","2019-07-19","E-ZZY-22-流量[早孕/怀孕检查]",62,3,8.49,2.83,4.84%,0,0,0,106064475
"xa-lhyy66","2019-07-19","E-ZZY-18-早孕-怀孕检测",14,0,0.00,0.00,0.00%,0,0,0,106064476
"xa-lhyy66","2019-07-19","E-ZZY-17-早孕检查",99,2,9.84,4.92,2.02%,0,0,0,106064477
